Comment,Designator,Footprint,LCSC,Quantity
SW_Nidec_CAS-120A1,SW2,Nidec_Copal_CAS-120A,C115374,1
22u,C12,C_0201_0603Metric,C12891,1
INA219AxD,U3,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
10k,"R13,R24,R6,R7",R_0201_0603Metric,C17414,4
6.8K,"R12,R8,R9",R_0201_0603Metric,C17772,3
4.7u,"C14,C15",C_0201_0603Metric,C1779,2
74K,R14,R_0201_0603Metric,C17801,1
100k,"R10,R11",R_0201_0603Metric,C17900,2
4450,"R23,R25",R_0201_0603Metric,C1980,2
NPN,Q1,TO-92L_HandSolder,C2145,1
LED,D1,LED_0201_0603Metric,C2296,1
LED,D2,LED_0201_0603Metric,C2297,1
PMOS,"Q2,Q3",TO-92L_Inline,C2564,2
0.01u,"C6,C7",C_0201_0603Metric,C38523,2
USB_C_Receptacle_PowerOnly_6P,J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C399924,1
2K,"R19,R20",R_0201_0603Metric,C4109,2
1.8k,R26,R_0201_0603Metric,C4177,1
1640,"R16,R22",R_0201_0603Metric,C4310,2
1k,"R15,R21,R4,R5",R_0201_0603Metric,C4410,4
22u,"C4,C5",C_0201_0603Metric,C45783,2
AMS1117-3.3,U7,SOT-223-3_TabPin2,C5120796,1
BQ24074RGT,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,C54313,1
DRV8833PW,"U1,U6",TSSOP-16_4.4x5mm_P0.65mm,C544801,2
10u,"C10,C11,C13,C3,C8,C9",C_0201_0603Metric,C7171,6
MT3608,U5,SOT-23-6,C84817,1
CH224K,U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
